countyid,countyname,name
1,Alba,Livezile
1,Alba,Lodroman
1,Alba,Loman
1,Alba,Lopadea-Noua
1,Alba,Lopadea-Veche
1,Alba,Luminesti
1,Alba,Lunca-Ampoitei
1,Alba,Lunca-Bisericii
1,Alba,Lunca-de-Jos
1,Alba,Lunca-Goiesti
1,Alba,Lunca-Larga-Bistra
1,Alba,Lunca-Larga-Ocolis
1,Alba,Lunca-Lupsa
1,Alba,Lunca-Merilor
1,Alba,Lunca-Metesului
1,Alba,Lunca-Muresului
1,Alba,Lunca-Posaga
1,Alba,Lunca-Tarnavei
1,Alba,Lunca-Valea-Lunga
1,Alba,Lunca-Vesesti
1,Alba,Lunca-Vidra
1,Alba,Lupaiesti
1,Alba,Lupsa
1,Alba,Lupseni
1,Alba,Lupu
1,Alba,Lupulesti
1,Alba,Macaresti
1,Alba,Maghierat
1,Alba,Magina
1,Alba,Magura-Bucium
1,Alba,Magura
1,Alba,Mahaceni
1,Alba,Mamaligani
1,Alba,Manarade
1,Alba,Manastire
1,Alba,Mancesti
1,Alba,Margaia
1,Alba,Margineni
1,Alba,Marinesti
1,Alba,Martesti
1,Alba,Martinie
1,Alba,Matacina
1,Alba,Matei
1,Alba,Matiseni
1,Alba,Matisesti-Horea
1,Alba,Medresti
1,Alba,Medves
1,Alba,Mereteu
1,Alba,Mescreac
1,Alba,Mesentea
1,Alba,Metes
1,Alba,Micesti
1,Alba,Micoslaca
1,Alba,Mihaiesti
1,Alba,Mihalt
1,Alba,Mihoesti
1,Alba,Miraslau
1,Alba,Modolesti
1,Alba,Modolesti-Vidra
1,Alba,Mogos
1,Alba,Moraresti
1,Alba,Moraresti-Sohodol
1,Alba,Morcanesti
1,Alba,Motorasti
1,Alba,Mugesti
1,Alba,Muncelu
1,Alba,Munesti
1,Alba,Muntari
1,Alba,Mununa
1,Alba,Musca
1,Alba,Nadastia
1,Alba,Namas
1,Alba,Napaiesti
1,Alba,Necrilesti
1,Alba,Necsesti
1,Alba,Negesti
1,Alba,Negresti
1,Alba,Nelegesti
1,Alba,Nemesi
1,Alba,Nicoresti
1,Alba,Niculesti
1,Alba,Noslac
1,Alba,Novacesti
1,Alba,Oarda
1,Alba,Obreja
1,Alba,Ocna-Mures
1,Alba,Ocnisoara
1,Alba,Ocoale
1,Alba,Ocolis
1,Alba,Odverem
1,Alba,Ohaba
1,Alba,Oidesti
1,Alba,Oiejdea
1,Alba,Olteni
1,Alba,Oncesti
1,Alba,Orasti
1,Alba,Orgesti
1,Alba,Ormenis
1,Alba,Paclisa
1,Alba,Padure
1,Alba,Padurea
1,Alba,Pagida
1,Alba,Panade
1,Alba,Panca
1,Alba,Pantesti
1,Alba,Parau-Carbunari
1,Alba,Parau-Gruiului
1,Alba,Parau-lui-Mihai
1,Alba,Pastesti
1,Alba,Patrahaitesti
1,Alba,Patrangeni
1,Alba,Patrusesti
1,Alba,Patrutesti
1,Alba,Peles
1,Alba,Perjesti
1,Alba,Peste-Valea-Bistrii
1,Alba,Petelca
1,Alba,Petelei
1,Alba,Petreasa
1,Alba,Petreni
1,Alba,Petresti
1,Alba,Petrisat
1,Alba,Pianu
1,Alba,Pianu-de-Jos
1,Alba,Pianu-de-Sus
1,Alba,Pirita
1,Alba,Pitarcesti
1,Alba,Pitiga
1,Alba,Plai-Avram-Iancu
1,Alba,Plai-Garda-de-Sus
1,Alba,Plaiuri
1,Alba,Plescuta
1,Alba,Plesesti
1,Alba,Plesi
1,Alba,Plisti
1,Alba,Podu-lui-Paul
1,Alba,Poduri
1,Alba,Poduri-Bricesti
1,Alba,Poiana-Aiudului
1,Alba,Poiana-Ampoiului
1,Alba,Poiana-Bistra
1,Alba,Poiana-Bucium
1,Alba,Poiana-Galdei
1,Alba,Poiana-Sohodol
1,Alba,Poiana-Ursului
1,Alba,Poiana-Vadului
1,Alba,Poieni-Blandiana
1,Alba,Poieni-Bucium
1,Alba,Poienile-Mogos
1,Alba,Poienita-Arieseni
1,Alba,Poienita
1,Alba,Poieni-Vidra
1,Alba,Poiu
1,Alba,Ponor
1,Alba,Ponorel
1,Alba,Popesti
1,Alba,Popestii-de-Jos
1,Alba,Popestii-de-Sus
1,Alba,Posaga
1,Alba,Posaga-de-Jos
1,Alba,Posaga-de-Sus
1,Alba,Posogani
1,Alba,Potionci
1,Alba,Preluca
1,Alba,Preluca
1,Alba,Presaca-Ampoiului
1,Alba,Puiuletesti
1,Alba,Purcareti
1,Alba,Puselesti
1,Alba,Racatau
1,Alba,Rachis
1,Alba,Rachita
1,Alba,Radesti
1,Alba,Rahau
1,Alba,Raicani
1,Alba,Ramet
1,Alba,Ratitis
1,Alba,Ravicesti
1,Alba,Razboieni-Cetate
1,Alba,Reciu
1,Alba,Remetea
1,Alba,Rimetea
1,Alba,Robesti
1,Alba,Rogoz
1,Alba,Rosesti
1,Alba,Rosia-de-Secas
1,Alba,Rosia-Montana
1,Alba,Runc-Ocolis
1,Alba,Runc-Scarisoara
1,Alba,Runcuri
1,Alba,Runc-Vidra
1,Alba,Runc-Zlatna
1,Alba,Rusesti
1,Alba,Rusi
1,Alba,Sagagea
1,Alba,Salagesti
1,Alba,Salciua
1,Alba,Salciua-de-Jos
1,Alba,Salciua-de-Sus
1,Alba,Salistea
1,Alba,Salistea-Deal
1,Alba,Sanbenedic
1,Alba,Sancel
1,Alba,Sancrai
1,Alba,Sanmiclaus
1,Alba,Santamarie
1,Alba,Santimbru
1,Alba,Saracsau
1,Alba,Sard
1,Alba,Sartas
1,Alba,Sasa
1,Alba,Sasciori
1,Alba,Scarisoara
1,Alba,Scoarta
1,Alba,Sebes
1,Alba,Sebesel
1,Alba,Sebisesti
1,Alba,Secasel
1,Alba,Segaj
1,Alba,Seusa
1,Alba,Sfarcea
1,Alba,Sfoartea
1,Alba,Sibot
1,Alba,Sicoiesti
1,Alba,Silea
1,Alba,Silivas
1,Alba,Simocesti
1,Alba,Simulesti
1,Alba,Snide
1,Alba,Soal
1,Alba,Soharu
1,Alba,Sohodol
1,Alba,Sohodol-Albac
1,Alba,Soicesti
1,Alba,Soimus
1,Alba,Sona
1,Alba,Sorlita
1,Alba,Spalnaca
1,Alba,Spatac
1,Alba,Spring
1,Alba,Stalnisoara
1,Alba,Stana-de-Mures
1,Alba,Stanesti
1,Alba,Stauini
1,Alba,Stefanca
1,Alba,Stei-Arieseni
1,Alba,Stertesti
1,Alba,Stiuleti
1,Alba,Straja
1,Alba,Stremt
1,Alba,Strungari
1,Alba,Sturu
1,Alba,Sub-Piatra
1,Alba,Sucesti
1,Alba,Sugag
1,Alba,Surdesti
1,Alba,Suseni
1,Alba,Tamboresti
1,Alba,Taranesti
1,Alba,Tarina
1,Alba,Tarsa
1,Alba,Tarsa-Plai
1,Alba,Tartaria
1,Alba,Tatarlaua
1,Alba,Tau
1,Alba,Tau-Bistra
1,Alba,Tauni
1,Alba,Tauti
1,Alba,Tecsesti
1,Alba,Teiu
1,Alba,Teius
1,Alba,Teleac
1,Alba,Telna
1,Alba,Tibru
1,Alba,Tifra
1,Alba,Tiur
1,Alba,Toci
1,Alba,Tolacesti
1,Alba,Tomesti
1,Alba,Tomnatec
1,Alba,Tomusesti
1,Alba,Tomutesti
1,Alba,Tonea
1,Alba,Totesti
1,Alba,Totoi
1,Alba,Trampoiele
1,Alba,Trancesti
1,Alba,Trifesti-Horea
1,Alba,Trifesti-Lupsa
1,Alba,Trisoresti
1,Alba,Turdas
1,Alba,Uioara-de-Jos
1,Alba,Uioara-de-Sus
1,Alba,Ungurei
1,Alba,Unirea
1,Alba,Urdes
1,Alba,Vadu-Motilor
1,Alba,Vai
1,Alba,Valcaneasa
1,Alba,Valcea
1,Alba,Valcesti
1,Alba,Valea-Abruzel
1,Alba,Valea-Alba
1,Alba,Valea-Barlutesti
1,Alba,Valea-Barnii
1,Alba,Valea-Bistrii
1,Alba,Valea-Bucurului
1,Alba,Valea-Caselor
1,Alba,Valea-Cerbului
1,Alba,Valea-Ciuciului
1,Alba,Valea-Cocesti
1,Alba,Valea-Fagetului
1,Alba,Valea-Giogesti
1,Alba,Valea-Goblii
1,Alba,Valea-Holhorii
1,Alba,Valea-Inzelului
1,Alba,Valea-Larga
1,Alba,Valea-lui-Mihai
1,Alba,Valea-Lunga
1,Alba,Valea-Lupsii
1,Alba,Valea-Maciului
1,Alba,Valea-Manastirii
1,Alba,Valea-Mare
1,Alba,Valea-Mica
1,Alba,Valea-Mlacii
1,Alba,Valea-Morii
1,Alba,Valea-Negrilesii
1,Alba,Valea-Poienii-Bucium
1,Alba,Valea-Poienii
1,Alba,Valea-Sasului
1,Alba,Valea-Sesii-Bucium
1,Alba,Valea-Sesii-Lupsa
1,Alba,Valea-Tupilor
1,Alba,Valea-Utului
1,Alba,Valea-Uzei
1,Alba,Valea-Verde
1,Alba,Valea-Vintului
1,Alba,Vale-in-Jos
1,Alba,Valeni-Bucium
1,Alba,Valeni-Metes
1,Alba,Valisoara
1,Alba,Valtori-Vadu
1,Alba,Valtori-Zlatna
1,Alba,Vama-Seaca
1,Alba,Vanvucesti
1,Alba,Varsi
1,Alba,Varsii-Mari
1,Alba,Varsii-Mici
1,Alba,Varsi-Rontu
1,Alba,Vartanesti
1,Alba,Vartop
1,Alba,Vasesti
1,Alba,Verdesti
1,Alba,Veseus
1,Alba,Veza
1,Alba,Vidolm
1,Alba,Vidra
1,Alba,Vidrisoara
1,Alba,Viezuri
1,Alba,Vinerea
1,Alba,Vingard
1,Alba,Vinta
1,Alba,Vintu-de-Jos
1,Alba,Vladesti
1,Alba,Vladosesti
1,Alba,Vulcan
1,Alba,Vurpar
1,Alba,Zagris
1,Alba,Zanzesti
1,Alba,Zaries
1,Alba,Zlatna
2,Arad,Aciuta
2,Arad,Adea
2,Arad,Agrisu-Mare
2,Arad,Agrisu-Mic
2,Arad,Aldesti
2,Arad,Almas
2,Arad,Alunis
2,Arad,Andrei-Saguna
2,Arad,Apateu
2,Arad,Arad
2,Arad,Araneag
2,Arad,Archis
2,Arad,Avram-Iancu-Cermei
2,Arad,Avram-Iancu
2,Arad,Bacau-de-Mijloc
2,Arad,Baia
2,Arad,Banesti
2,Arad,Baratca
2,Arad,Barsa
2,Arad,Barzava
2,Arad,Barzesti
2,Arad,Bata
2,Arad,Batuta
2,Arad,Beliu
2,Arad,Belotint
2,Arad,Benesti
2,Arad,Berechiu
2,Arad,Berindia
2,Arad,Birchis
2,Arad,Bochia
2,Arad,Bocsig
2,Arad,Bodesti
2,Arad,Bodrogu-Nou
2,Arad,Bodrogu-Vechi
2,Arad,Bontesti
2,Arad,Botfei
2,Arad,Brazii
2,Arad,Brusturi
2,Arad,Bruznic
2,Arad,Buceava-Soimus
2,Arad,Budesti
2,Arad,Buhani
2,Arad,Bulci
2,Arad,Buteni
2,Arad,Calugareni
2,Arad,Camna
2,Arad,Capalnas
2,Arad,Caporal-Alexa
2,Arad,Caprioara
2,Arad,Capruta
2,Arad,Carand
2,Arad,Cermei
2,Arad,Chelmac
2,Arad,Cherelus
2,Arad,Chesint
2,Arad,Chier
2,Arad,Chisindia
2,Arad,Chisineu-Cris
2,Arad,Chislaca
2,Arad,Cicir
2,Arad,Cil
2,Arad,Cintei
2,Arad,Ciuntesti
2,Arad,Cladova
2,Arad,Clit
2,Arad,Cociuba
2,Arad,Comanesti
2,Arad,Conop
2,Arad,Corbesti
2,Arad,Coroi
2,Arad,Covasint
2,Arad,Craiva
2,Arad,Cristesti
2,Arad,Crocna
2,Arad,Cruceni
2,Arad,Cuias
2,Arad,Cuied
2,Arad,Curtici
2,Arad,Cuvesdia
2,Arad,Cuvin
2,Arad,Dezna
2,Arad,Dieci
2,Arad,Donceni
2,Arad,Dorgos
2,Arad,Dorobanti
2,Arad,Draut
2,Arad,Dud
2,Arad,Dulcele
2,Arad,Dumbrava
2,Arad,Dumbravita
2,Arad,Fantanele
2,Arad,Felnac
2,Arad,Fenis
2,Arad,Firiteaz
2,Arad,Fiscut
2,Arad,Frumuseni
2,Arad,Galsa
2,Arad,Ghioroc
2,Arad,Graniceri
2,Arad,Groseni
2,Arad,Grosi
2,Arad,Grosii-Noi
2,Arad,Gurahont
2,Arad,Gura-Vaii
2,Arad,Gurba
2,Arad,Halalis
2,Arad,Halmagel
2,Arad,Halmagiu
2,Arad,Hasmas
2,Arad,Hodis
2,Arad,Hontisor
2,Arad,Horia
2,Arad,Hunedoara-Timisana
2,Arad,Iacobini
2,Arad,Iercoseni
2,Arad,Iermata
2,Arad,Iermata-Neagra
2,Arad,Ignesti
2,Arad,Ilteu
2,Arad,Ineu
2,Arad,Ionesti
2,Arad,Iosas
2,Arad,Iratosu
2,Arad,Joia-Mare
2,Arad,Julita
2,Arad,Labasint
2,Arad,Lalasint
2,Arad,Laz
2,Arad,Lazuri
2,Arad,Leasa
2,Arad,Lestioara
2,Arad,Lipova
2,Arad,Livada
2,Arad,Luguzau
2,Arad,Luncsoara
2,Arad,Lupesti
2,Arad,Macea
2,Arad,Maderat
2,Arad,Madrigesti
2,Arad,Magulicea
2,Arad,Mailat
2,Arad,Manastur
2,Arad,Mandruloc
2,Arad,Manerau
2,Arad,Maraus
2,Arad,Masca
2,Arad,Mermesti
2,Arad,Milova
2,Arad,Minead
2,Arad,Minis
2,Arad,Minisel
2,Arad,Minisu-de-Sus
2,Arad,Misca
2,Arad,Mocrea
2,Arad,Moneasa
2,Arad,Monorostia
2,Arad,Moroda
2,Arad,Motiori
2,Arad,Munar
2,Arad,Mustesti
2,Arad,Nadab
2,Arad,Nadalbesti
2,Arad,Nadas
2,Arad,Nadlac
2,Arad,Neagra
2,Arad,Nermis
2,Arad,Neudorf
2,Arad,Nicolae-Balcescu
2,Arad,Obarsia
2,Arad,Odvos
2,Arad,Olari
2,Arad,Ostrov
2,Arad,Paiuseni
2,Arad,Pancota
2,Arad,Parnesti
2,Arad,Patars
2,Arad,Paulian
2,Arad,Paulis
2,Arad,Pecica
2,Arad,Peregu-Mare
2,Arad,Peregu-Mic
2,Arad,Pescari
2,Arad,Petris
2,Arad,Pilu
2,Arad,Plescuta
2,Arad,Poiana
2,Arad,Poienari
2,Arad,Prunisor
2,Arad,Radesti
2,Arad,Radna
2,Arad,Ranusa
2,Arad,Rapsig
2,Arad,Revetis
2,Arad,Rogoz-de-Beliu
2,Arad,Rosia
2,Arad,Rosia-Noua
2,Arad,Rostoci
2,Arad,Sagu
2,Arad,Salajeni
2,Arad,Sambateni
2,Arad,Sanleani
2,Arad,Sanmartin
2,Arad,Sanpaul
2,Arad,Sanpetru-German
2,Arad,Santana
2,Arad,Sarbi
2,Arad,Satu-Mare
2,Arad,Satu-Mic
2,Arad,Satu-Nou
2,Arad,Savarsin
2,Arad,Sebis
2,Arad,Secaci
2,Arad,Secas
2,Arad,Secusigiu
2,Arad,Sederhat
2,Arad,Seitin
2,Arad,Seleus
2,Arad,Seliste
2,Arad,Selistea
2,Arad,Semlac
2,Arad,Sepreus
2,Arad,Siad
2,Arad,Siclau
2,Arad,Sicula
2,Arad,Silindia
2,Arad,Simand
2,Arad,Sintea-Mare
2,Arad,Sintea-Mica
2,Arad,Siria
2,Arad,Sistarovat
2,Arad,Slatina-de-Cris
2,Arad,Slatina-de-Mures
2,Arad,Socodor
2,Arad,Sofronea
2,Arad,Soimos
2,Arad,Somosches
2,Arad,Stejar
2,Arad,Stoinesti
2,Arad,Susag
2,Arad,Susani
2,Arad,Tagadau
2,Arad,Talagiu
2,Arad,Talmaci
2,Arad,Tarmure
2,Arad,Tarnavita
2,Arad,Tarnova
2,Arad,Taut
2,Arad,Tela
2,Arad,Temesesti
2,Arad,Tipar
2,Arad,Tisa
2,Arad,Tisa-Noua
2,Arad,Toc
2,Arad,Tohesti
2,Arad,Troas
2,Arad,Turnu
2,Arad,Urvisu-de-Beliu
2,Arad,Ususau
2,Arad,Valea-Mare-Gurahont
2,Arad,Valea-Mare
2,Arad,Vanatori
2,Arad,Varadia-de-Mures
2,Arad,Varfurile
2,Arad,Variasu-Mare
2,Arad,Variasu-Mic
2,Arad,Varnita
2,Arad,Varsand
2,Arad,Vasile-Goldis
2,Arad,Vasoaia
2,Arad,Vidra
2,Arad,Vinga
2,Arad,Virismort
2,Arad,Vladimirescu
2,Arad,Voivodeni
2,Arad,Zabalt
2,Arad,Zabrani
2,Arad,Zadareni
2,Arad,Zarand
2,Arad,Zerind
2,Arad,Zerindu-Mic
2,Arad,Zimandcuz
2,Arad,Zimandu-Nou
2,Arad,Zimbru
3,Arges,Adunati
3,Arges,Afrimesti
3,Arges,Albesti
3,Arges,Albestii-de-Arges
3,Arges,Albestii-de-Muscel
3,Arges,Albestii-Pamanteni
3,Arges,Albestii-Ungureni
3,Arges,Albota
3,Arges,Albotele
3,Arges,Alunis
3,Arges,Alunisu-Baiculesti
3,Arges,Alunisu-Bradulet
3,Arges,Anghinesti
3,Arges,Aninoasa
3,Arges,Arefu
3,Arges,Argesani
3,Arges,Argeselu
3,Arges,Babana
3,Arges,Babaroaga
3,Arges,Bacesti
3,Arges,Badeni
3,Arges,Badesti-Barla
3,Arges,Badesti-Pietrosani
3,Arges,Badicea
3,Arges,Badila
3,Arges,Badislava
3,Arges,Badulesti
3,Arges,Baiculesti
3,Arges,Baila
3,Arges,Bajanesti
3,Arges,Bajesti
3,Arges,Balabani
3,Arges,Balilesti
3,Arges,Balilesti-Tigveni
3,Arges,Baloteasca
3,Arges,Baltata
3,Arges,Balteni
3,Arges,Banaresti
3,Arges,Banicesti
3,Arges,Bantau
3,Arges,Baranesti
3,Arges,Barasti
3,Arges,Barbalani
3,Arges,Barbalatesti
3,Arges,Barbatesti
3,Arges,Barla
3,Arges,Barlogu
3,Arges,Barloi
3,Arges,Barsestii-de-Jos
3,Arges,Barsestii-de-Sus
3,Arges,Barzesti
3,Arges,Bascov
3,Arges,Bascovele
3,Arges,Batrani
3,Arges,Beculesti
3,Arges,Beleti
3,Arges,Beleti-Negresti
3,Arges,Berevoesti
3,Arges,Berindesti
3,Arges,Bilcesti
3,Arges,Blaju
3,Arges,Blejani
3,Arges,Bogati
3,Arges,Bolculesti
3,Arges,Bolovanesti
3,Arges,Bordeieni
3,Arges,Borlesti
3,Arges,Borobanesti
3,Arges,Borovinesti
3,Arges,Botarcani
3,Arges,Boteni
3,Arges,Botesti
3,Arges,Brabeti
3,Arges,Bradetu
3,Arges,Bradu
3,Arges,Bradulet
3,Arges,Braileni
3,Arges,Branistea
3,Arges,Branzari
3,Arges,Brateasca
